title,macro_name,description,image,video_name,update_date,how_to_use
Update Boolean Bodies,Update Boolean Bodies.catvba,"This CATIA VBA macro automates the process of updating Boolean bodies within a Assembly, ensuring that all dependent features and operations are recalculated and synchronized.",,Update Boolean Bodies.mp4,new,Run the macro||Select the Parent Boolean bodies to update||Click ok||Done - Automatically update all dependent Boolean body.
Create body rename & publish,create_body_and_publish.catvba,"This CATIA VBA macro automates the process of creating a new body within the PartDocument, assigning it a predefined or user-specified name, and immediately publishing the body itself. It bypasses standard UI dialogs to optimize execution speed when generating repetitive part structures.",,create_body_and_publish.mp4,,Run Macro || Select Body Name || Click ok || it will create a new body with name and auto publish ||(Settings) Change default name from the setting Button
Get Weight Selected/Total,show weight.catvba,"This CATIA VBA macro calculates the total weight of a selected product, sub-assembly, or the entire root assembly based on a user-provided density value",,show weight.mp4,Latest,Run the macro||Enter the material density when prompted|| Wait for the popup
Round-off all dimension in sketch by 1 click,round_figure_dimension_in_sketch.catvba,"This CATIA VBA macro automatically rounds all dimensional constraints within an active Sketch (or a user-selected Sketch) to a specified precision or step size (e.g., nearest integer, 2, 0.1, or 0.01). It eliminates tedious manual editing of individual constraint values, helping engineers and designers rapidly clean up driving dimensions during concept modeling or reverse engineering.",,round_figure_dimension_in_sketch.mp4,,Open the target Sketch for edit Or Select Sketch||run the macro||Choose the rounding precision when prompted||Done
Select identical Item,select_identical.catvba,This CATIA VBA macro automates the selection of all identical elements—such as bodies within a .CATPart or products within a .CATProduct—based on an initial user selection,,select_identical.mp4,,Select one element that has matching items|| (Optional) 2nd select the parent assembly if you dont need to select from other assemblies ||run the macro||Done
Hide/Show Axis,hide_show_axis.catvba,This CATIA VBA macro toggles or sets the visibility (Hide/Show) of axis systems across an entire .CATPart or .CATProduct structure,,hide_show_axis.mp4,,
Activate/Deactivate Multi-Component in assembly,activate_deactivate_component_in_assembly.catvba,"This CATIA VBA macro automates the activation and deactivation (Deactivate Node / Activate Node) of selected components, sub-assemblies, or specific part instances within a .CATProduct.",,activate_deactivate_component_in_assembly.mp4,,Activate the sub-assembly ||Select the Products||Run the macro
One click to convert CATIA to .STP,convert_to_stp.catvba,"This CATIA VBA macro automates the export of active .CATPart or .CATProduct files to STEP format (.stp / .step) with a single click. It eliminates manual navigation through File > Save As, automatically handles file naming, resolves output paths to the parent file's directory",,convert_to_stp.mp4,,
One click .STP to Catia from folder,batch convert stp to catia.catvba,"This CATIA VBA macro automates the conversion of multiple STEP files (.stp / .step) to CATIA format (.catpart / .catproduct) with a single click. It eliminates manual navigation through File > Open, automatically handles file naming, and resolves output paths to the parent file's directory",,batch convert stp to catia.mp4,,
Create center points from selected Circular curves,create points from selected curves.catvba,"This CATIA VBA macro automates the creation of points along selected curves, useful for generating reference points or control points in parametric modeling.",,create points from selected curves.mp4,,Select the all circular curves||run the macro||Done (Will point enter point on all curves)
Macro Dashboard (All macro in one place),Macro Dashboard.catvba,"This CATIA VBA macro provides a centralized dashboard interface for managing and executing various macros, streamlining workflow and improving accessibility. This Dashboard itself not contain any macro , This Dashboard centralizes the management of all available macros.",,macro dashboard.mp4,Latest,Run the macro||Use the dashboard to choose the required macro||Follow the selected macro's prompts.
